donde_estas_trabajando,dedicacion,tipo_de_contrato,ultimo_salario_mensual_o_retiro_bruto_en_tu_moneda_local,ultimo_salario_mensual_o_retiro_neto_en_tu_moneda_local,pagos_en_dolares,si_tu_sueldo_esta_dolarizado_cual_fue_el_ultimo_valor_del_dolar_que_tomaron,anos_de_experiencia,antigüedad_en_la_empresa_actual,tiempo_en_el_puesto_actual,cuantas_personas_a_cargo_tenes,tengo_edad,seniority
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),600000,450000,,No,14,4,4,0,44,Senior
Entre Ríos,Full-Time,Staff (planta permanente),405000,295000,,,5,0,0,0,41,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),395000,170000,Cobro parte del salario en dólares,169,4,1,1,0,29,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),860000,590000,,,25,2,2,4,47,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),330000,282000,,,3,3,3,0,25,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),523000,320000,Mi sueldo está dolarizado (pero cobro en moneda local),330,4,1,3,0,26,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),862162,502673,,,16,4,1,2,37,Senior
Buenos Aires,Full-Time,Staff (planta permanente),473000,289000,,,17,4,4,20,40,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),440000,365000,,,34,5,4,32,48,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),860000,550000,,,5,2,2,6,31,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),300000,,Cobro todo el salario en dólares,280,2,1,2,0,35,Junior
Buenos Aires,Full-Time,Staff (planta permanente),120000,,,,1,0,0,0,22,Junior
Buenos Aires,Full-Time,Staff (planta permanente),282000,242000,,,2,1,1,0,36,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),420000,380000,,,18,18,11,0,38,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),484000,310000,,,7,2,2,0,33,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),628230,277000,,,4,1,1,0,28,Semi-Senior
Entre Ríos,Part-Time,Tercerizado (trabajo a través de consultora o agencia),210000,,,,3,0,0,0,24,Semi-Senior
Río Negro,Full-Time,Staff (planta permanente),450000,330000,,,2,1,0.5,0,28,Junior
Santa Fe,Full-Time,Staff (planta permanente),617978,452370,,,15,13,4,15,44,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),270000,,,,5,1,1,0,26,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),72289,60000,,,0,0,0,0,34,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),183344,152175,,,0,0,0,3,44,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),357000,246000,,,3,0,0,0,27,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),286000,236000,,,2,1,0,0,34,Junior
Buenos Aires,Full-Time,Remoto (empresa de otro país),1050000,850000,Cobro todo el salario en dólares,,5,1,1,0,48,Semi-Senior
Río Negro,Full-Time,Staff (planta permanente),212000,176000,,,1,1,1,0,35,Junior
Buenos Aires,Full-Time,Staff (planta permanente),750000,450000,,,4,0,0,0,28,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),242000,203000,,,15,3,6,0,35,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),650000,400000,,,4,4,0,0,25,Semi-Senior
