donde_estas_trabajando,dedicacion,tipo_de_contrato,ultimo_salario_mensual_o_retiro_bruto_en_tu_moneda_local,ultimo_salario_mensual_o_retiro_neto_en_tu_moneda_local,pagos_en_dolares,si_tu_sueldo_esta_dolarizado_cual_fue_el_ultimo_valor_del_dolar_que_tomaron,anos_de_experiencia,antigüedad_en_la_empresa_actual,tiempo_en_el_puesto_actual,cuantas_personas_a_cargo_tenes,tengo_edad,seniority
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),450000,380000,,,3,3,3,0,34,Semi-Senior
Mendoza,Full-Time,Staff (planta permanente),325310,270008,Mi sueldo está dolarizado (pero cobro en moneda local),173,87,1,1,1,0,24,Junior
Buenos Aires,Full-Time,Staff (planta permanente),515000,427000,,,15,3,3,8,35,Senior
La Pampa,Full-Time,Remoto (empresa de otro país),225000,185000,,,3,0,0,0,29,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),184000,230000,,,3,0,0,0,33,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),235000,200000,,,2,1,1,0,25,Junior
Buenos Aires,Full-Time,Staff (planta permanente),220000,180000,,,8,3,3,0,33,Senior
Córdoba,Full-Time,Staff (planta permanente),280000,250000,,,3,0,0,4,35,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),457400,312277,,,6,3,3,2,34,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),250000,200000,,,3,3,3,0,29,Semi-Senior
Chaco,Full-Time,Staff (planta permanente),325000,340000,,,2,1,1,0,27,Junior
Buenos Aires,Full-Time,Staff (planta permanente),450000,375000,,,19,15,15,3,43,Senior
Buenos Aires,Full-Time,Staff (planta permanente),310000,270000,,,1,1,1,0,28,Junior
Mendoza,Full-Time,Staff (planta permanente),345000,279000,,,15,10,10,0,45,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),295836,250000,Cobro todo el salario en dólares,185 (oficial),2,3,2,0,27,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),500000,400000,,,16,12,2,4,39,Senior
Buenos Aires,Full-Time,Staff (planta permanente),298721,256204,,,2,2,2,0,20,Junior
Buenos Aires,Part-Time,Freelance,75000,72000,Mi sueldo está dolarizado (pero cobro en moneda local),350,4,0,0,0,35,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1064609,710890,19,Cobro parte del salario en dólares,400,6,4,2,7,30,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),216000,216000,,,3,2,2,0,28,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),213298,182038,,,3.5,2.5,1,0,37,Semi-Senior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),500000,500000,Cobro todo el salario en dólares,,2,0,0,2,26,Junior
Santa Fe,Full-Time,Staff (planta permanente),311000,257000,,,3,3,2,0,29,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),205000,170000,,,12,1,1,0,38,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),150000,190000,,,1,10,0,0,32,Junior
Misiones,Full-Time,Staff (planta permanente),281000,231000,,,4,2,2,0,27,Semi-Senior
Santa Fe,Full-Time,Staff (planta permanente),395301,340000,,,2.5,2.5,2,0,25,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),164000,133000,,,0,0,0,0,24,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),376500,312500,,,2,1,1,0,25,Junior
Santa Fe,Full-Time,Staff (planta permanente),330000,270000,,,6,5,5,0,28,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),1050000,997500,Cobro todo el salario en dólares,350,4,0,0,0,26,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),150000,135000,,,1,1,1,0,34,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),625141,454827,Mi sueldo está dolarizado (pero cobro en moneda local),225,10,6,3,34,37,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),530000,400000,,,25,0,0,10,50,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),640000,400000,Cobro parte del salario en dólares,,5,5,1,8,26,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),350000,290000,,,2,2,2,2,25,Junior
Santa Fe,Full-Time,Staff (planta permanente),320000,,,,18,15,0,0,44,Senior
Santa Fe,Full-Time,Remoto (empresa de otro país),875000,875000,Cobro todo el salario en dólares,,3,2,2,0,25,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),553000,352000,,,16,0,0,0,34,Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),1600000,138000,,,7,0,7,0,27,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),600000,450000,,,20,5,1,20,47,Senior
Buenos Aires,Full-Time,Staff (planta permanente),250000,210000,,,3,0,0,0,28,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),270000,225000,,,0,0,0,0,30,Junior
Córdoba,Full-Time,Staff (planta permanente),640000,416000,,,26,26,24,10,50,Senior
Mendoza,Full-Time,Staff (planta permanente),360000,287000,,,20,18,18,0,41,Senior
Santa Fe,Part-Time,Freelance,560000,,Cobro todo el salario en dólares,330,1,0,0,2,28,Junior
Santa Fe,Full-Time,Staff (planta permanente),160000,133000,,,0,0,0,0,25,Junior
Córdoba,Full-Time,Staff (planta permanente),140000,120000,,,0,0,0,0,23,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),300000,650000,Cobro parte del salario en dólares,345,15,1,1,8,47,Senior
Tucumán,Full-Time,Remoto (empresa de otro país),900000,880000,Cobro todo el salario en dólares,348,3,0,3,1,25,Semi-Senior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),180000,166000,,,10,3,3,0,29,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),980000,930000,Cobro todo el salario en dólares,350,12,0,0,0,30,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),255000,209000,,,3,1,1,0,27,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),150000,127000,,,10,10,1,0,33,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),380000,280009,,,6,5,2,1,31,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),310000,257000,,,4,2,1,0,32,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),165000,132000,,,2,2,2,0,17,Junior
Buenos Aires,Full-Time,Staff (planta permanente),260000,230000,,,8,2,1,5,28,Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Freelance,220000,220000,,,10,3,3,2,44,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),440000,350000,,,5,1,1,0,30,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),470000,330000,,,3,3,1,2,25,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),117200,117200,,,5,5,5,0,28,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),1382500,1382500,Cobro todo el salario en dólares,,5,2,2,0,32,Semi-Senior
Córdoba,Full-Time,Remoto (empresa de otro país),1056000,1056000,Cobro todo el salario en dólares,330,3,0,0,0,28,Semi-Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Freelance,1260000,1170000,Cobro todo el salario en dólares,350,10,1,0,0,28,Senior
Córdoba,Full-Time,Remoto (empresa de otro país),700000,651200,Cobro todo el salario en dólares,,2,0,0,0,25,Junior
Córdoba,Full-Time,Staff (planta permanente),780000,506000,,,15,8,8,0,36,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),275500,235265,,,2,0,0,0,23,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),205000,176000,,,2,0,0,0,27,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),780000,530000,,,14,1.8,1.8,0,35,Senior
Buenos Aires,Full-Time,Staff (planta permanente),750000,620000,Cobro parte del salario en dólares,,16,7,4,5,35,Senior
Buenos Aires,Full-Time,Staff (planta permanente),305000,257000,,,2,0,0,0,29,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),375000,290000,,,3,0,0,0,31,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),340000,340000,Mi sueldo está dolarizado (pero cobro en moneda local),181,20,3,3,1,39,Senior
Entre Ríos,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1070000,980000,Cobro todo el salario en dólares,,5,0,0,0,31,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),370000,310000,,,5,3,3,0,29,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),380000,240000,,,1,1,1,0,28,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1700000,1200000,,,25,2,1,110,43,Senior
Santa Fe,Full-Time,Staff (planta permanente),170000,180000,,,20,15,10,0,44,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),370000,315000,,,1,1,1,0,24,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),464000,365000,Mi sueldo está dolarizado (pero cobro en moneda local),No es abierto con nosotros pero se que en estos últimos dose meses está entre los 1000 dólares,10,1.7,1.7,0,34,Senior
Buenos Aires,Full-Time,Staff (planta permanente),268000,238000,,,2,1,1,0,21,Junior
Corrientes,Full-Time,Staff (planta permanente),218000,218000,,,1,2,1,5,31,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),280000,240000,,,25,10,10,3,46,Senior
Córdoba,Full-Time,Staff (planta permanente),992000,,Cobro todo el salario en dólares,,7,0,0,7,34,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),80000,128000,,,8,10,8,0,36,Senior
Córdoba,Full-Time,Remoto (empresa de otro país),1400000,1400000,Cobro todo el salario en dólares,,8,0,7,3,31,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),650000,400000,,,12,9,8,0,42,Senior
Córdoba,Full-Time,Remoto (empresa de otro país),1500000,1500000,Cobro todo el salario en dólares,350,18,2,2,0,37,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),670000,350000,,,8,1,1,2,32,Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Freelance,200000,150000,,,25,20,20,0,48,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),320000,260000,,,1,0,0,0,21,Junior
Buenos Aires,Full-Time,Staff (planta permanente),271510,225353,,,1.3,1.3,1.3,0,22,Junior
Mendoza,Full-Time,Staff (planta permanente),440000,400000,,,3,3,1,1,35,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),470000,360000,,,2,1,1,0,29,Junior
Tucumán,Full-Time,Remoto (empresa de otro país),1400000,14000000,Cobro todo el salario en dólares,350,5,2,1,0,27,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),323000,268000,,,2,1,1,0,25,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),250000,207000,,,2,0,0,0,26,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),400000,,,,25,0,0,0,46,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),291788,260381,,,20,4,4,0,40,Senior
Chaco,Full-Time,Staff (planta permanente),190000,150000,Mi sueldo está dolarizado (pero cobro en moneda local),160,2,2,2,0,31,Junior
Buenos Aires,Full-Time,Staff (planta permanente),600000,510000,,,3,0,0,0,25,Semi-Senior
Mendoza,Full-Time,Staff (planta permanente),461380,314264.73,Cobro todo el salario en dólares,169.24,3,0,0,0,26,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),399952,260843,,,18,10,10,4,45,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),89300,126000,,,14,5,1,0,36,Senior
San Juan,Full-Time,Staff (planta permanente),150000,130000,,,10,2,1,10,28,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),550000,,Cobro parte del salario en dólares,,12,1,1,0,31,Senior
Santa Fe,Full-Time,Staff (planta permanente),166000,141000,,,1,1,1,0,23,Junior
Buenos Aires,Full-Time,Staff (planta permanente),360000,290000,,,2,0,1,0,26,Junior
Santa Fe,Full-Time,Staff (planta permanente),150000,128,,,1,0,0,1,22,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),260000,215000,,,2,0,0,0,24,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),700000,470000,,,21,8,1,12,43,Senior
Santa Fe,Full-Time,Staff (planta permanente),350000,240000,,,2,2,1,1,23,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),450000,357000,,,3,0,3,7,34,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),585000,376000,,,11,9,5,2,37,Senior
Buenos Aires,Full-Time,Staff (planta permanente),360000,300000,,,25,13,13,0,49,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),238000,234000,,,1,1,1,0,21,Junior
Tucumán,Full-Time,Staff (planta permanente),430000,305000,,,15,12,8,3,43,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),310000,285000,Cobro parte del salario en dólares,,1,1,1,2,33,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),885000,550000,,,15,0,0,0,35,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),665000,665000,,,18,2,2,20,38,Senior
Buenos Aires,Full-Time,Remoto (empresa de otro país),1100000,1000000,Cobro todo el salario en dólares,,4,2,2,5,27,Semi-Senior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),200000,167000,,,0,0,0,0,44,Junior
Santa Fe,Full-Time,Staff (planta permanente),550000,360000,,,24,18,18,2,49,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),350000,300000,,,10,16,10,2,36,Senior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),500000,372000,,,15,3,1,0,40,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),178000,147000,,,7,2,1,0,29,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),255000,212000,Mi sueldo está dolarizado (pero cobro en moneda local),180,7,7,1,7,27,Senior
Buenos Aires,Full-Time,Staff (planta permanente),400000,340000,,,4,1,1,0,31,Semi-Senior
Corrientes,Full-Time,Staff (planta permanente),350000,650000,,,30,24,18,9,49,Senior
Buenos Aires,Full-Time,Staff (planta permanente),520000,405000,,,2,0,0,6,36,Junior
Córdoba,Full-Time,Freelance,1300000,1300000,Cobro todo el salario en dólares,330,8,3,3,0,43,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),181000,157,,,2,1,1,0,22,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),236000,190000,,,3,1,2,20,26,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),347000,250000,,,26,11,11,2,44,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1500000,850000,,,25,11,11,0,46,Senior
Buenos Aires,Full-Time,Staff (planta permanente),203382.78,163724,Cobro parte del salario en dólares,,10,3,1,3,27,Senior
Buenos Aires,Part-Time,Tercerizado (trabajo a través de consultora o agencia),232050,224050,,,1,1.4,1.4,0,24,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),550000,265000,Cobro parte del salario en dólares,182,7,2,2,0,28,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),240000,170000,,,0,0,0,0,20,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),576000,340000,Cobro parte del salario en dólares,187,10,6,3,4,32,Senior
Buenos Aires,Full-Time,Staff (planta permanente),1200000,600000,Cobro parte del salario en dólares,183,19,6,4,16,44,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),312000,260000,,,4,1,1,0,27,Semi-Senior
Santa Fe,Full-Time,Staff (planta permanente),280000,230000,,,10,10,10,2,41,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),156237,123405,,,0,0,0,0,21,Junior
Buenos Aires,Full-Time,Staff (planta permanente),208000,172500,,,0,0,0,0,23,Junior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),320000,320000,,,20,20,20,3,48,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),75000,62000,,,1,1,1,0,29,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),190000,150000,,,16,16,7,0,35,Senior
Córdoba,Full-Time,Staff (planta permanente),750000,400000,Cobro parte del salario en dólares,183,15,0,0,8,44,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),270000,220000,Cobro parte del salario en dólares,,2,0,0,0,24,Junior
Santa Fe,Full-Time,Staff (planta permanente),161393,136800,,,0,0,0,0,26,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),210000,184000,,,1.5,0,0,0,27,Junior
Salta,Full-Time,Tercerizado (trabajo a través de consultora o agencia),120000,112000,,,1,1,2,4,25,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),689000,415000,Mi sueldo está dolarizado (pero cobro en moneda local),170,7,1,1,5,27,Senior
Mendoza,Full-Time,Remoto (empresa de otro país),240000,240000,,720,1,1,1,0,28,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),350000,280000,,,3,2,2,0,24,Semi-Senior
Santa Fe,Full-Time,Staff (planta permanente),180000,150000,,,2,2,2,1,23,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),1600000,1600000,Cobro todo el salario en dólares,350,10,1,1,0,32,Senior
La Pampa,Full-Time,Staff (planta permanente),1128000,775000,,,10,5,0,15,35,Senior
Entre Ríos,Full-Time,Staff (planta permanente),202000,180000,,,2,1,1,0,30,Junior
Santa Fe,Full-Time,Staff (planta permanente),96500,82000,,,0,0,0,0,28,Junior
San Luis,Full-Time,Staff (planta permanente),500000,400000,,,11,2,2,0,41,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),390000,280000,,,13,1,1,0,35,Senior
Santiago del Estero,Full-Time,Staff (planta permanente),424567,302346,,,4,1,3,0,25,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),455000,300000,,,1,1,1,0,28,Junior
Córdoba,Full-Time,Staff (planta permanente),280000,232000,,,3,0,0,0,24,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),1292400,,Cobro todo el salario en dólares,,10,0,5,0,34,Senior
Entre Ríos,Full-Time,Staff (planta permanente),340000,270000,,,1,0,1,0,27,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),200000,166000,,,10,0,0,0,32,Senior
Neuquén,Full-Time,Staff (planta permanente),338500,540000,,,5,7,3,4,32,Semi-Senior
Santa Fe,Full-Time,Staff (planta permanente),230000,190000,Cobro parte del salario en dólares,,2,0,0,0,32,Junior
Santa Fe,Full-Time,Staff (planta permanente),180000,150000,,,3,2,0,8,31,Semi-Senior
Santa Fe,Full-Time,Tercerizado (trabajo a través de consultora o agencia),131250,120000,,,1,1,1,0,24,Junior
Buenos Aires,Full-Time,Staff (planta permanente),140000,120000,,,0,0,0,0,30,Junior
Buenos Aires,Full-Time,Staff (planta permanente),211170,176000,,,6,10,5,0,32,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),200000,160000,,,10,5,2,0,38,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),198000,,,,0,0,0,0,21,Junior
Buenos Aires,Full-Time,Staff (planta permanente),215000,180000,,,1,1,0,0,24,Junior
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),100000,100000,,,0,0,0,1,20,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),460000,280000,,,7,2,2,4,37,Senior
Córdoba,Full-Time,Staff (planta permanente),211000,178000,,,26,1,1,0,49,Senior
Córdoba,Full-Time,Staff (planta permanente),150000,120000,,,0,0,0,0,23,Junior
Buenos Aires,Full-Time,Remoto (empresa de otro país),455000,,Cobro todo el salario en dólares,,1,0,0,0,24,Junior
Buenos Aires,Full-Time,Staff (planta permanente),233000,194000,,,0,0,0,0,33,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),300000,250000,,,0,1,1,0,23,Junior
Córdoba,Full-Time,Staff (planta permanente),364000,297000,,,1,1,1,0,27,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),507000,320000,Mi sueldo está dolarizado (pero cobro en moneda local),320,2,2,1,0,26,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),230000,194000,,,2,2,2,0,40,Junior
Misiones,Full-Time,Staff (planta permanente),410000,30000,Mi sueldo está dolarizado (pero cobro en moneda local),Moneda local,22,15,0,10,46,Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Tercerizado (trabajo a través de consultora o agencia),110000,110000,,,0,0,0,0,29,Junior
Buenos Aires,Full-Time,Staff (planta permanente),330000,260000,Cobro parte del salario en dólares,190,2,2,1,0,22,Junior
Buenos Aires,Full-Time,Staff (planta permanente),500000,470000,Cobro parte del salario en dólares,,24,2,20,0,49,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),1200000,1100000,Cobro todo el salario en dólares,340,18,1,1,4,39,Senior
Buenos Aires,Full-Time,Participación societaria en una cooperativa,478000,396000,,,24,15,10,2,42,Senior
Buenos Aires,Full-Time,Staff (planta permanente),184000,155000,,,0,0,0,0,28,Junior
Santa Fe,Full-Time,Staff (planta permanente),219000,171000,,,15,8,7,0,39,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),340000,270000,,,3,2,2,0,24,Semi-Senior
Santa Fe,Full-Time,Staff (planta permanente),290000,210000,,,1,1,1,0,28,Junior
Buenos Aires,Full-Time,Staff (planta permanente),280000,245000,,,18,15,15,4,35,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),500000,382,,,8,6,6,0,30,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),255000,211650,,,7,3,1,3,28,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),482000,355000,Mi sueldo está dolarizado (pero cobro en moneda local),170.5,3,2,2,0,22,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),975000,600000,,,5,2,2,1,28,Semi-Senior
Buenos Aires,Full-Time,Freelance,400000,400000,Mi sueldo está dolarizado (pero cobro en moneda local),350,3,2,2,0,33,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),120000,99600,,,1,0,0,0,27,Junior
Tucumán,Full-Time,Staff (planta permanente),450000,373000,,,5,1,1,1,34,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),289000,240000,,,2,2,2,2,30,Junior
Buenos Aires,Full-Time,Staff (planta permanente),140000,120000,,,0,0,0,1,22,Junior
Buenos Aires,Full-Time,Staff (planta permanente),190000,160000,,,1,1,1,0,21,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),220000,165000,,,6,2,2,0,34,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),355000,330000,Mi sueldo está dolarizado (pero cobro en moneda local),183,25,2,1.6,1.6,0,31,Junior
Córdoba,Full-Time,Staff (planta permanente),430000,370000,Mi sueldo está dolarizado (pero cobro en moneda local),Mep,22,2,2,0,43,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),200000,166000,,,2,0,0,0,23,Junior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),300000,250000,,,2,2,2,0,23,Junior
Mendoza,Full-Time,Staff (planta permanente),200000,168000,,,1,0,0,0,33,Junior
Mendoza,Full-Time,Staff (planta permanente),504000,318800,,,6,2,0,4,30,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),224000,,Mi sueldo está dolarizado (pero cobro en moneda local),319,2,2,0,0,25,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),210000,192000,,,1,1,1,0,32,Junior
Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),150000,130000,,,2,0,0,0,24,Junior
Santa Fe,Full-Time,Staff (planta permanente),371500,273000,,,15,6,6,0,41,Senior
Buenos Aires,Full-Time,Staff (planta permanente),200000,170000,,,10,8,3,0,32,Senior
Córdoba,Full-Time,Staff (planta permanente),340000,295000,Mi sueldo está dolarizado (pero cobro en moneda local),,4,4,4,0,33,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),1000000,,,,6,4.5,1.5,0,29,Senior
Santa Fe,Full-Time,Tercerizado (trabajo a través de consultora o agencia),260000,225000,,,4,6,4,2,34,Semi-Senior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),234000,200000,,,10,1,1,0,29,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),550000,375000,,,2,1,0,0,22,Junior
Santa Fe,Full-Time,Staff (planta permanente),320000,,,,0,0,0,0,25,Junior
Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),160000,160000,,,0,0,0,0,39,Junior
Córdoba,Full-Time,Remoto (empresa de otro país),1600000,1600000,Cobro todo el salario en dólares,,1,1,0,4,24,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Remoto (empresa de otro país),500000,500000,Cobro todo el salario en dólares,,5,5,2,5,27,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),300000,240000,,,3,1,1,0,26,Semi-Senior
Corrientes,Full-Time,Staff (planta permanente),280000,200000,,,1,1,1,0,27,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),316000,263000,,,4,4,4,0,27,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),310000,260000,,,18,1,1,2,36,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),168000,141000,,,0,1,1,0,22,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),504000,430000,,,14,0,0,4,36,Senior
Tucumán,Full-Time,Freelance,225000,187000,,,3,2,3,2,24,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Freelance,110000,110000,,,1,1,1,0,26,Junior
Buenos Aires,Full-Time,Staff (planta permanente),230000,150000,,,0,0,0,0,26,Junior
Río Negro,Full-Time,Staff (planta permanente),564000,415000,,,4,0,0,0,32,Semi-Senior
