QR;FORMALIDAD;FMI;RELACIÓN DE TENECIA DEL XTF;LC_PREDIO;lc_estructura_novedad_numero_predial;lc_Novedad;JUSTIFICACION_NOVEDAD;CONTAR LC PREDIO;CONTAR LC ESTRUCTURA;CONDICIÓN DE LC PREDIO (22);NPN PROVISIONAL LC_PREDIO (18);CONDICION_LC_ESTRUCTURA_NOVEDAD (22);NPN PROVISIONAL LC_ESTRUCTURA (18);BUSCAR_LC_PREDIO;BUSCAR_LC_ESTRUCTURA;ESTADO_FMI;FMI_R2;CC VIGENTE
7316822897;Formal;57058;Dominio;731680003000000010162000000000;731680003000000010162000000000;Ninguna;;1;1;0;0;0;0;731680003000000010162000000000;731680003000000010162000000000;ACTIVO;57058;731680003000000010162000000000
7316815540;Informal;17036;Posesion;73168000400000001A045200000000;73168000400000001A045200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680004000000010017000000000
7316863159;Informal;41409;Posesion;73168000300000001A373200000000;73168000300000001A373200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680003000000010037000000000
7316869009;Informal;3108;Posesion;73168000200000028A002200000000;73168000200000028A002200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680004000000010048000000000
7316813035;Formal;53081;Dominio;731680004000000010031000000000;731680004000000010031000000000;Ninguna;;1;1;0;0;0;0;731680004000000010031000000000;731680004000000010031000000000;ACTIVO;53081;731680004000000010031000000000
7316815434;Informal;11787;Ocupación;73168000400000001A095200000000;73168000400000001A095200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680004000000010100000000000
7316865011;Informal;612;Ocupación;73168000400000001A075200000000;731680004000000010015000000000;Cambio_Numero_Predial;Cambio de número predial por cambio de condición de propiedad;1;1;2;A;0;0;NO ESTA;731680004000000010015000000000;ACTIVO;NO ESTA;731680004000000010015000000000
7316872008;Informal;;Ocupación;73168000400000001A113200000000;73168000400000001A113200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;NO ESTA;NO ESTA;731680004000000010057000000000
7316816162;Formal;41411;Dominio;731680003000000010035000000000;731680003000000010035000000000;Ninguna;;1;1;0;0;0;0;731680003000000010035000000000;731680003000000010035000000000;ACTIVO;41411;731680003000000010035000000000
7316872002;Informal;40634;Ocupación;73168000400000001A024200000000;73168000400000001A024200000000;Predio_Nuevo;Predio informal evidenciado en campo;1;1;2;A;2;A;NO ESTA;NO ESTA;ACTIVO;NO ESTA;731680004000000010080000000000
7316867036;Informal;40161;Posesion;73168000400000001A079200000000;731680004000000010009500000001;Cambio_Numero_Predial;Mejora a Posesión;1;1;2;A;5;0;NO ESTA;731680004000000010009500000001;ACTIVO;NO ESTA;731680004000000010009500000001
7316816182;Formal;35119;Dominio;731680004000000010082000000000;731680004000000010082000000000;Ninguna;;1;1;0;0;0;0;731680004000000010082000000000;731680004000000010082000000000;ACTIVO;35119;731680004000000010082000000000
